epoch,acc,loss,lr,val_acc,val_loss
0,0.8750984,0.02369293449446559,0.001,0.60502285,0.018590645864605904
1,0.88855326,0.013960298290476203,0.001,0.6590563,0.011043497361242771
2,0.8953646,0.011100441692396998,0.001,0.6818874,0.010873038321733475
3,0.90354747,0.010112739726901054,0.001,0.66818875,0.01119156088680029
4,0.9037037,0.00955580411478877,0.000100000005,0.6978691,0.010195578448474407
5,0.90449655,0.009525379482656717,0.000100000005,0.7024353,0.009830433875322342
6,0.9018634,0.00955039975233376,0.000100000005,0.6894977,0.009873493574559689
7,0.9053588,0.009366063848137856,1e-04,0.67808217,0.010419165715575218
8,0.90412617,0.0092892125248909,1e-04,0.6993912,0.01005653664469719
9,0.90726274,0.009138185661286116,1e-04,0.68569255,0.009993684478104115
10,0.904566,0.009240680783987045,1e-04,0.6864536,0.010260405950248241
