epoch,loss,lr,mse,val_loss,val_mse
0,0.014756545443087816,0.001,0.014756546,0.031879328191280365,0.03187933
1,0.012645865902304649,0.001,0.012645868,0.04875609278678894,0.048756093
2,0.011831889227032662,0.000100000005,0.011831888,0.028961556032299995,0.028961556
3,0.011340451152063906,0.000100000005,0.011340451,0.02862527407705784,0.028625274
4,0.011303895059973002,0.000100000005,0.011303894,0.027967069298028946,0.02796707
5,0.011324160965159535,0.000100000005,0.011324159,0.031815290451049805,0.03181529
6,0.011130285784602165,1e-04,0.011130285,0.028758669272065163,0.02875867
7,0.01073341745417565,1e-04,0.010733414,0.03500544652342796,0.035005447
8,0.0107949894759804,1e-04,0.010794986,0.030961664393544197,0.030961664
9,0.010800475431606173,1e-04,0.010800475,0.033084165304899216,0.033084165
