epoch,loss,lr,mse,val_loss,val_mse
0,0.02393272314220667,0.001,0.023932727,0.035846270620822906,0.03584627
1,0.018643255196511745,0.001,0.018643253,0.032009635120630264,0.032009635
2,0.016847504395991565,0.001,0.016847502,0.029020216315984726,0.029020216
3,0.016212582811713217,0.001,0.016212586,0.027992554008960724,0.027992554
4,0.015240862183272839,0.001,0.015240863,0.03332122415304184,0.033321224
5,0.014363224124535919,0.000100000005,0.014363226,0.03550397604703903,0.035503976
6,0.014122744631022215,1e-04,0.014122742,0.03605743497610092,0.036057435
7,0.014489846052601934,1e-04,0.014489848,0.03488282486796379,0.034882825
8,0.014254577774554491,1e-04,0.014254579,0.034043218940496445,0.03404322
