epoch,loss,lr,mse,val_loss,val_mse
0,0.010541045537684113,0.001,0.010541044,0.006815936416387558,0.0068159364
1,0.0016236146702431143,0.001,0.0016236146,0.004284501541405916,0.0042845015
2,0.0014974655152764171,0.001,0.0014974655,0.00544582586735487,0.005445826
3,0.0013989121763734148,0.000100000005,0.0013989118,0.005259156227111816,0.005259156
4,0.0014186869573313743,1e-04,0.0014186866,0.005185527727007866,0.0051855277
5,0.0013412375893676652,1e-04,0.0013412378,0.005295341368764639,0.0052953414
6,0.0014258528751088307,1e-04,0.0014258529,0.004765291232615709,0.004765291
