epoch,loss,lr,mse,val_loss,val_mse
0,0.023502139942720532,0.001,0.023502147,0.0024258603807538748,0.0024258604
1,0.01407411102205515,0.001,0.0140741095,0.0018099630251526833,0.001809963
2,0.010902307606302201,0.001,0.010902308,0.0024790249299257994,0.002479025
3,0.009064601743593812,0.000100000005,0.009064601,0.001993923680856824,0.0019939237
4,0.008670644131489097,1e-04,0.008670644,0.0018164808861911297,0.0018164809
5,0.008320016004145146,1e-04,0.008320016,0.0023455547634512186,0.0023455548
6,0.008366337567567826,1e-04,0.008366338,0.0019951374270021915,0.0019951374
