epoch,loss,lr,mae,val_loss,val_mae
0,0.031360399723052976,0.001,0.14370134,0.007372837979346514,0.067856155
1,0.017135821990668775,0.001,0.102714755,0.006338369566947222,0.061945185
2,0.01332382831722498,0.001,0.089176506,0.0049390727654099464,0.054885708
3,0.01136076046153903,0.001,0.08200269,0.005892104934900999,0.05925331
4,0.010542481709271669,0.000100000005,0.07885344,0.005298262927681208,0.05556396
5,0.010474819634109735,1e-04,0.078381926,0.00466220173984766,0.05231613
6,0.010353355333209038,1e-04,0.07810226,0.005382459610700607,0.05595546
7,0.01016788460314274,1e-04,0.07710871,0.005034534726291895,0.054218836
8,0.01021960075944662,1e-04,0.07774316,0.005518331192433834,0.05674103
9,0.010289956890046597,1e-04,0.07772174,0.005087363068014383,0.054276697
10,0.009985921140760183,1e-04,0.07661242,0.004936992656439543,0.053378854
