epoch,acc,loss,lr,val_acc,val_loss
0,0.8752165,0.02358506066724658,0.001,0.5449011,0.01972956769168377
1,0.8900537,0.013992962231859564,0.001,0.6278539,0.01199566200375557
2,0.89970213,0.010781414238736034,0.001,0.6339422,0.012471510097384453
3,0.9007617,0.01008519608527422,0.000100000005,0.7123288,0.009823840111494064
4,0.8998698,0.009950274620205164,0.000100000005,0.7039574,0.0100043173879385
5,0.90132326,0.00984880113042891,1e-04,0.70547944,0.00988104846328497
6,0.90245605,0.009769789110869169,1e-04,0.69863015,0.010006576776504517
7,0.90085936,0.009648422300815583,1e-04,0.68112636,0.010210544802248478
8,0.9033903,0.009559822054579854,1e-04,0.6788432,0.010146645829081535
